console_id,console
0,Series
1,PS3
2,PS4
3,PS2
4,X360
5,PC
6,XOne
7,PS
8,PSP
9,Wii
10,DS
11,3DS
12,NES
13,GC
14,WiiU
15,XB
16,All
17,NS
18,N64
19,GEN
20,2600
21,GBA
22,GB
23,PSV
24,SNES
25,DC
26,SAT
27,XBL
28,PSN
29,And
30,DSiW
31,OSX
32,Lynx
33,SCD
34,Linux
35,MS
36,WW
37,ZXS
38,ACPC
39,Amig
40,7800
41,VC
42,GG
43,PCE
44,5200
45,AJ
46,WinP
47,Mob
48,iOS
49,WS
50,NG
51,3DO
52,VB
53,GBC
54,Ouya
55,NGage
56,AST
57,MSD
58,S32X
59,PCFX
60,Int
61,PS5
62,XS
63,CDi
64,C128
65,DSi
66,Arc
67,C64
68,BRW
69,FMT
70,MSX
71,GIZ
72,ApII
73,Aco
74,BBCM
75,TG16
76,CD32
77,CV
